loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_wer,eval_cer,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,validation_loss,validation_wer,validation_cer,validation_runtime,validation_samples_per_second,validation_steps_per_second
8.7296,11.265387535095215,0.00048,0.22805017103762829,25,,,,,,,,,,,,,,,,,
4.3649,2.583855628967285,0.00098,0.45610034207525657,50,,,,,,,,,,,,,,,,,
3.4223,4.845682621002197,0.0009384615384615385,0.6841505131128849,75,,,,,,,,,,,,,,,,,
2.6335,1.9451985359191895,0.0008743589743589744,0.9122006841505131,100,,,,,,,,,,,,,,,,,
,,,1.0,110,3.580610513687134,0.9821428571428571,0.48798134898303724,18.3524,7.029,3.542,,,,,,,,,,,
0.9357,0.8295488357543945,0.0008102564102564103,1.1368301026225769,125,,,,,,,,,,,,,,,,,
0.7514,0.9897926449775696,0.0007461538461538462,1.3648802736602053,150,,,,,,,,,,,,,,,,,
0.7249,0.5015977621078491,0.0006820512820512821,1.5929304446978336,175,,,,,,,,,,,,,,,,,
0.6668,1.8644685745239258,0.000617948717948718,1.8209806157354618,200,,,,,,,,,,,,,,,,,
,,,2.0,220,3.0953209400177,0.8813775510204082,0.4423185143500281,18.3753,7.02,3.537,,,,,,,,,,,
0.6422,0.9314905405044556,0.0005538461538461539,2.0456100342075256,225,,,,,,,,,,,,,,,,,
0.6171,0.8788865804672241,0.0004897435897435897,2.2736602052451538,250,,,,,,,,,,,,,,,,,
0.5909,0.6009984612464905,0.00042564102564102564,2.5017103762827824,275,,,,,,,,,,,,,,,,,
0.6072,0.5584425330162048,0.00036153846153846154,2.7297605473204105,300,,,,,,,,,,,,,,,,,
0.5875,0.5875474810600281,0.00029743589743589743,2.9578107183580387,325,,,,,,,,,,,,,,,,,
,,,3.0,330,3.058462381362915,0.8664965986394558,0.43419889058606,18.0618,7.142,3.599,,,,,,,,,,,
0.6114,0.5646025538444519,0.00023333333333333333,3.1824401368301025,350,,,,,,,,,,,,,,,,,
0.5838,0.49273258447647095,0.00016923076923076926,3.4104903078677307,375,,,,,,,,,,,,,,,,,
0.5487,1.0714812278747559,0.00010512820512820513,3.6385404789053593,400,,,,,,,,,,,,,,,,,
0.5701,0.4664052426815033,4.1025641025641023e-05,3.8665906499429874,425,,,,,,,,,,,,,,,,,
,,,4.0,440,3.1127407550811768,0.8754251700680272,0.4373341908513546,18.3388,7.034,3.544,,,,,,,,,,,
,,,4.0,440,,,,,,,3869.7091,1.813,0.114,8.583373530856172e+18,1.5860361207615246,,,,,,
,,,4.0,440,,,,,,,,,,,,3.058462381362915,0.8664965986394558,0.43419889058606,22.2001,5.811,2.928
