loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_wer,eval_cer,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,validation_loss,validation_wer,validation_cer,validation_runtime,validation_samples_per_second,validation_steps_per_second
11.9173,20.539485931396484,7.2e-06,0.22805017103762829,25,,,,,,,,,,,,,,,,,
8.3928,20.05193519592285,1.47e-05,0.45610034207525657,50,,,,,,,,,,,,,,,,,
3.5147,1.0883160829544067,2.22e-05,0.6841505131128849,75,,,,,,,,,,,,,,,,,
3.0022,0.6290034055709839,2.97e-05,0.9122006841505131,100,,,,,,,,,,,,,,,,,
,,,1.0,110,3.2845449447631836,100.0,100.0,9.7936,13.172,6.637,,,,,,,,,,,
2.9885,0.31869393587112427,2.907692307692308e-05,1.1368301026225769,125,,,,,,,,,,,,,,,,,
2.9443,0.4391475319862366,2.8115384615384616e-05,1.3648802736602053,150,,,,,,,,,,,,,,,,,
2.9422,0.9010624289512634,2.7153846153846154e-05,1.5929304446978336,175,,,,,,,,,,,,,,,,,
2.9131,2.0228891372680664,2.6192307692307694e-05,1.8209806157354618,200,,,,,,,,,,,,,,,,,
,,,2.0,220,3.2656941413879395,100.0,100.0,8.6717,14.876,7.496,,,,,,,,,,,
2.8504,0.7339457273483276,2.523076923076923e-05,2.0456100342075256,225,,,,,,,,,,,,,,,,,
2.6403,0.8972882628440857,2.426923076923077e-05,2.2736602052451538,250,,,,,,,,,,,,,,,,,
2.3985,1.3527947664260864,2.330769230769231e-05,2.5017103762827824,275,,,,,,,,,,,,,,,,,
2.0861,1.5935149192810059,2.2346153846153847e-05,2.7297605473204105,300,,,,,,,,,,,,,,,,,
1.8118,1.4897271394729614,2.1384615384615387e-05,2.9578107183580387,325,,,,,,,,,,,,,,,,,
,,,3.0,330,3.11755108833313,100.46768707482994,67.17581799179997,9.0904,14.191,7.15,,,,,,,,,,,
1.5747,0.9776370525360107,2.0423076923076925e-05,3.1824401368301025,350,,,,,,,,,,,,,,,,,
1.3802,0.9246196746826172,1.9461538461538462e-05,3.4104903078677307,375,,,,,,,,,,,,,,,,,
1.2296,1.4905900955200195,1.8500000000000002e-05,3.6385404789053593,400,,,,,,,,,,,,,,,,,
1.0918,0.8447824120521545,1.753846153846154e-05,3.8665906499429874,425,,,,,,,,,,,,,,,,,
,,,4.0,440,3.1307809352874756,100.46768707482994,53.60559530508884,9.0538,14.248,7.179,,,,,,,,,,,
1.0461,0.8114400506019592,1.6576923076923077e-05,4.091220068415051,450,,,,,,,,,,,,,,,,,
0.9545,1.350333333015442,1.5615384615384618e-05,4.319270239452679,475,,,,,,,,,,,,,,,,,
0.9081,0.7491776347160339,1.4653846153846153e-05,4.5473204104903076,500,,,,,,,,,,,,,,,,,
0.8761,0.7866220474243164,1.3692307692307692e-05,4.775370581527936,525,,,,,,,,,,,,,,,,,
0.854,1.6568055152893066,1.2730769230769231e-05,5.0,550,,,,,,,,,,,,,,,,,
,,,5.0,550,3.445789337158203,102.16836734693877,53.07500602942359,8.7835,14.687,7.4,,,,,,,,,,,
0.7859,1.1874499320983887,1.176923076923077e-05,5.228050171037628,575,,,,,,,,,,,,,,,,,
0.7824,1.2147835493087769,1.0807692307692307e-05,5.456100342075256,600,,,,,,,,,,,,,,,,,
0.7731,0.8531013131141663,9.846153846153846e-06,5.684150513112884,625,,,,,,,,,,,,,,,,,
0.7904,0.7815106511116028,8.884615384615385e-06,5.9122006841505135,650,,,,,,,,,,,,,,,,,
,,,6.0,660,3.249626874923706,100.93537414965988,52.48814213361202,9.256,13.937,7.023,,,,,,,,,,,
0.7026,0.8880101442337036,7.923076923076924e-06,6.136830102622577,675,,,,,,,,,,,,,,,,,
0.7096,0.8467592597007751,6.961538461538462e-06,6.364880273660205,700,,,,,,,,,,,,,,,,,
0.7076,0.9151814579963684,6e-06,6.592930444697833,725,,,,,,,,,,,,,,,,,
0.6734,0.7596151828765869,5.038461538461538e-06,6.820980615735461,750,,,,,,,,,,,,,,,,,
,,,7.0,770,3.4901647567749023,102.16836734693877,52.88206447463622,8.4505,15.265,7.692,,,,,,,,,,,
0.6897,0.8468294739723206,4.076923076923076e-06,7.045610034207526,775,,,,,,,,,,,,,,,,,
0.6501,0.8113728761672974,3.1153846153846157e-06,7.273660205245154,800,,,,,,,,,,,,,,,,,
0.6679,0.6290082931518555,2.1538461538461538e-06,7.501710376282782,825,,,,,,,,,,,,,,,,,
0.6676,0.9731352925300598,1.1923076923076923e-06,7.72976054732041,850,,,,,,,,,,,,,,,,,
0.6965,1.013216257095337,2.3076923076923078e-07,7.957810718358039,875,,,,,,,,,,,,,,,,,
,,,8.0,880,3.3891849517822266,100.72278911564625,52.279122115925716,8.6652,14.887,7.501,,,,,,,,,,,
,,,8.0,880,,,,,,,2946.9637,4.762,0.299,4.566639967258468e+18,1.9803258378397335,,,,,,
,,,8.0,880,,,,,,,,,,,,3.3891913890838623,100.72278911564625,52.279122115925716,10.9901,11.738,5.914
