model,recorded_checkpoint,download_url,status
MMS-1B 50% SPK009 + SpecAugment,/content/drive/Othercomputers/My MacBook Pro/tarifit_asr_tfm/models/mms_1b_tarifit_v1_2_half_bible_specaug/checkpoint-524,https://drive.google.com/drive/folders/1bMm_8hWL0ObC2pqmJ4Yhos4peZhJ8lqt?usp=drive_link,Drive link provided; fresh-download loading not yet verified
MMS-1B full V1.2 + SpecAugment,/content/drive/Othercomputers/My MacBook Pro/tarifit_asr_tfm/models/mms_1b_tarifit_v1_2_specaug/best_adapter.safetensors,https://drive.google.com/drive/folders/1yewRjLwYJLnOujF2NGDLdAV7gn9Zx_Fk?usp=sharing,Drive link provided; requires base MMS model; fresh-download loading not yet verified
Fadhma-300M full V1.2,/content/drive/Othercomputers/My MacBook Pro/tarifit_asr_tfm/models/fadhma_300m_tarifit_v1_2_transfer/checkpoint-330,https://drive.google.com/drive/folders/1hfa-H2hVmvX2c-7hRQc4Nq1frl7XF5Jd?usp=sharing,Drive folder includes checkpoint-330 and best_model; fresh-download loading not yet verified
OmniASR-W2V-300M full V1.2,/content/drive/Othercomputers/My MacBook Pro/tarifit_asr_tfm/models/omniASR_w2v_300m_tarifit_v1_2/checkpoint-660,https://drive.google.com/drive/folders/1SqdWCV2Kh8FhcGwA7sDIDyOcSpg_qpfl?usp=sharing,Drive folder includes checkpoint-660 and best_model; fresh-download loading not yet verified
Kabyle-XLS-R adapted,models/kabyle_xlsr_tarifit_v1_2_noaug_full8_corrected/best_model,https://drive.google.com/drive/folders/1eV-XZudIVLUkX5BMRV4YXjVOJsk4VwTH?usp=sharing,Drive link provided; fresh-download loading not yet verified
