loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_wer,eval_cer,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,validation_loss,validation_wer,validation_cer,validation_runtime,validation_samples_per_second,validation_steps_per_second
8.3987,9.508366584777832,0.00048,0.22805017103762829,25,,,,,,,,,,,,,,,,,
2.6693,1.1335233449935913,0.00098,0.45610034207525657,50,,,,,,,,,,,,,,,,,
0.8174,0.8321388959884644,0.0009384615384615385,0.6841505131128849,75,,,,,,,,,,,,,,,,,
0.7106,0.8457289338111877,0.0008743589743589744,0.9122006841505131,100,,,,,,,,,,,,,,,,,
,,,1.0,110,2.9954934120178223,0.8796768707482994,0.4427204759225018,20.1248,6.41,3.23,,,,,,,,,,,
0.6896,0.7211688160896301,0.0008102564102564103,1.1368301026225769,125,,,,,,,,,,,,,,,,,
0.6655,0.7673382759094238,0.0007461538461538462,1.3648802736602053,150,,,,,,,,,,,,,,,,,
0.6695,0.8382795453071594,0.0006820512820512821,1.5929304446978336,175,,,,,,,,,,,,,,,,,
0.6331,0.6805891990661621,0.000617948717948718,1.8209806157354618,200,,,,,,,,,,,,,,,,,
,,,2.0,220,3.062056303024292,0.8622448979591837,0.4369322292788809,19.9902,6.453,3.252,,,,,,,,,,,
0.6172,0.6859127283096313,0.0005538461538461539,2.0456100342075256,225,,,,,,,,,,,,,,,,,
0.5982,0.6402286291122437,0.0004897435897435897,2.2736602052451538,250,,,,,,,,,,,,,,,,,
0.5722,0.6041162014007568,0.00042564102564102564,2.5017103762827824,275,,,,,,,,,,,,,,,,,
0.5986,0.595850944519043,0.00036153846153846154,2.7297605473204105,300,,,,,,,,,,,,,,,,,
0.5779,0.6288472414016724,0.00029743589743589743,2.9578107183580387,325,,,,,,,,,,,,,,,,,
,,,3.0,330,2.8712220191955566,0.8596938775510204,0.43267143661066004,19.6645,6.56,3.305,,,,,,,,,,,
0.6041,0.40257593989372253,0.00023333333333333333,3.1824401368301025,350,,,,,,,,,,,,,,,,,
0.571,1.1144312620162964,0.00016923076923076926,3.4104903078677307,375,,,,,,,,,,,,,,,,,
0.5385,1.406000018119812,0.00010512820512820513,3.6385404789053593,400,,,,,,,,,,,,,,,,,
0.5663,0.5971567034721375,4.1025641025641023e-05,3.8665906499429874,425,,,,,,,,,,,,,,,,,
,,,4.0,440,2.948718786239624,0.8499149659863946,0.43267143661066004,19.8818,6.488,3.269,,,,,,,,,,,
,,,4.0,440,,,,,,,4446.1812,1.578,0.099,8.583384919704858e+18,1.1829186461188577,,,,,,
,,,4.0,440,,,,,,,,,,,,2.8712220191955566,0.8596938775510204,0.43267143661066004,17.7298,7.276,3.666
